Chave de Fenda, 5.00, 10.00, FerramentasExpress, 123-456-7890, info@ferramentasexpress.com, ABC123
Broca de Metal, 8.50, 15.00, FerramentasMania, 987-654-3210, info@ferramentasmania.com, XYZ456
Lixa de Grão Médio, 2.50, 5.00, AbrasivosRápidos, 456-789-0123, info@abrasivosrapidos.com, LMN789
Martelo de Garra, 12.00, 25.00, FerragensMega, 789-012-3456, info@ferragensmega.com, DEF456
Fita Métrica, 4.50, 9.00, MedidasPerfeitas, 234-567-8901, info@medidasperfeitas.com, UVW789
Óleo Lubrificante, 6.00, 12.00, LubrificantesTop, 567-890-1234, info@lubrificantestop.com, GHI123
Parafusos de Aço Inoxidável, 3.00, 6.00, FixadoresPremium, 890-123-4567, info@fixadorespremium.com, PQR456
Chave Inglesa Ajustável, 7.50, 15.00, FerramentasPro, 123-234-5678, info@ferramentaspro.com, JKL789
Pregos de Aço, 4.00, 8.00, FerragensPlus, 345-678-9012, info@ferragensplus.com, MNO123
Pistola de Cola Quente, 10.00, 20.00, ColasRápidas, 678-901-2345, info@colasrapidas.com, STU789
