Toyota, Supra, 12-34-PQ, Gasolina, 2022, 161000, 2000, Vermelho, Nada a apontar
Chevrolet, Camaro, 56-78-RS, Gasolina, 2021, 120500, 2500, Azul, Pequenos arranhões na lateral direita
Nissan, Altima, 90-12-AB, Gasolina, 2023, 75200, 1800, Prata, Revisão recente realizada
Audi, A4, 45-67-CD, Diesel, 2020, 98000, 2200, Preto, Ótimo estado geral
Hyundai, Sonata, 89-01-EF, Gasolina, 2022, 55800, 1600, Branco, Interior limpo e bem cuidado
Subaru, Outback, 23-45-GH, Gasolina, 2023, 43600, 2500, Verde, Historial de manutenção completo
Fiat, 500, 78-90-IJ, Gasolina, 2021, 82300, 1200, Amarelo, Economia de combustível
Jaguar, F-Pace, 34-56-KL, Diesel, 2022, 67900, 3000, Cinza, Bancos de couro em perfeito estado
Tesla, Model S, 67-89-MN, Elétrico, 2023, 15000, N/A (elétrico), Azul, Autonomia impressionante
Land Rover, Discovery, 12-34-OP, Diesel, 2020, 110000, 3500, Preto, Pronto para off-road
